Generation,BestFitness,Reached End,Steps
0,0.07692307692307693,False,200
1,0.07692307692307693,False,200
2,0.07692307692307693,False,200
3,0.07692307692307693,False,200
4,0.07692307692307693,False,200
5,0.07692307692307693,False,200
6,0.08333333333333333,False,200
7,0.09090909090909091,False,200
8,0.09090909090909091,False,200
9,0.09090909090909091,False,200
10,0.09090909090909091,False,200
11,0.09090909090909091,False,200
12,0.1,False,200
13,0.1,False,200
14,0.1,False,200
15,0.1,False,200
16,0.1,False,200
17,0.14285714285714285,False,200
18,0.14285714285714285,False,200
19,0.14285714285714285,False,200
20,0.14285714285714285,False,200
21,0.14285714285714285,False,200
22,0.14285714285714285,False,200
23,0.2,False,200
24,0.2,False,200
25,0.2,False,200
26,0.2,False,200
27,0.2,False,200
28,0.25,False,200
29,0.25,False,200
30,0.25,False,200
31,0.25,False,200
32,0.25,False,200
33,0.25,False,200
34,1057,True,143
35,1062,True,138
36,1062,True,138
37,1065,True,135
38,1065,True,135
39,1065,True,135
40,1065,True,135
41,1065,True,135
42,1065,True,135
43,1065,True,135
44,1066,True,134
45,1066,True,134
46,1066,True,134
47,1066,True,134
48,1066,True,134
49,1066,True,134
50,1066,True,134
51,1067,True,133
52,1067,True,133
53,1067,True,133
54,1067,True,133
55,1068,True,132
56,1068,True,132
57,1068,True,132
58,1068,True,132
59,1068,True,132
60,1068,True,132
61,1068,True,132
62,1068,True,132
63,1068,True,132
64,1068,True,132
65,1068,True,132
66,1068,True,132
67,1068,True,132
68,1068,True,132
69,1068,True,132
70,1068,True,132
71,1069,True,131
72,1069,True,131
73,1069,True,131
74,1069,True,131
75,1069,True,131
76,1069,True,131
77,1069,True,131
78,1069,True,131
79,1069,True,131
80,1069,True,131
81,1069,True,131
82,1069,True,131
83,1070,True,130
84,1070,True,130
85,1070,True,130
86,1070,True,130
87,1070,True,130
88,1070,True,130
89,1070,True,130
90,1070,True,130
91,1070,True,130
92,1070,True,130
93,1070,True,130
94,1070,True,130
95,1070,True,130
96,1070,True,130
97,1070,True,130
98,1070,True,130
99,1070,True,130
100,1070,True,130
101,1070,True,130
102,1071,True,129
103,1071,True,129
104,1071,True,129
105,1071,True,129
106,1071,True,129
107,1071,True,129
108,1071,True,129
109,1071,True,129
110,1071,True,129
111,1071,True,129
112,1071,True,129
113,1071,True,129
114,1071,True,129
115,1071,True,129
116,1071,True,129
117,1071,True,129
118,1071,True,129
119,1071,True,129
120,1071,True,129
121,1071,True,129
122,1071,True,129
123,1071,True,129
124,1071,True,129
125,1071,True,129
126,1072,True,128
127,1072,True,128
128,1073,True,127
129,1073,True,127
130,1073,True,127
131,1073,True,127
132,1073,True,127
133,1073,True,127
134,1073,True,127
135,1073,True,127
136,1073,True,127
137,1074,True,126
138,1074,True,126
139,1074,True,126
140,1074,True,126
141,1074,True,126
142,1074,True,126
143,1074,True,126
144,1074,True,126
145,1074,True,126
146,1074,True,126
147,1074,True,126
148,1074,True,126
149,1074,True,126
150,1074,True,126
151,1074,True,126
152,1074,True,126
153,1074,True,126
154,1074,True,126
155,1074,True,126
156,1074,True,126
157,1074,True,126
158,1074,True,126
159,1074,True,126
160,1074,True,126
161,1074,True,126
162,1074,True,126
163,1074,True,126
164,1074,True,126
165,1074,True,126
166,1074,True,126
167,1074,True,126
168,1074,True,126
169,1074,True,126
170,1074,True,126
171,1074,True,126
172,1074,True,126
173,1075,True,125
174,1075,True,125
175,1075,True,125
176,1075,True,125
177,1075,True,125
178,1075,True,125
179,1075,True,125
180,1075,True,125
181,1075,True,125
182,1075,True,125
183,1075,True,125
184,1075,True,125
185,1076,True,124
186,1076,True,124
187,1076,True,124
188,1076,True,124
189,1076,True,124
190,1076,True,124
191,1076,True,124
192,1076,True,124
193,1076,True,124
194,1076,True,124
195,1076,True,124
196,1076,True,124
197,1076,True,124
198,1076,True,124
199,1076,True,124
200,1076,True,124
201,1076,True,124
202,1076,True,124
203,1076,True,124
204,1076,True,124
205,1076,True,124
206,1076,True,124
207,1076,True,124
208,1076,True,124
209,1076,True,124
210,1076,True,124
211,1076,True,124
212,1076,True,124
213,1076,True,124
214,1076,True,124
215,1076,True,124
216,1076,True,124
217,1076,True,124
218,1076,True,124
219,1076,True,124
220,1076,True,124
221,1076,True,124
222,1076,True,124
223,1076,True,124
224,1076,True,124
225,1076,True,124
226,1076,True,124
227,1077,True,123
228,1077,True,123
229,1077,True,123
230,1077,True,123
231,1077,True,123
232,1077,True,123
233,1077,True,123
234,1077,True,123
235,1077,True,123
236,1077,True,123
237,1077,True,123
238,1077,True,123
239,1077,True,123
240,1077,True,123
241,1077,True,123
242,1077,True,123
243,1077,True,123
244,1077,True,123
245,1078,True,122
246,1078,True,122
247,1078,True,122
248,1078,True,122
249,1078,True,122
250,1078,True,122
251,1078,True,122
252,1078,True,122
253,1078,True,122
254,1078,True,122
255,1078,True,122
256,1078,True,122
257,1078,True,122
258,1078,True,122
259,1078,True,122
260,1078,True,122
261,1078,True,122
262,1078,True,122
263,1078,True,122
264,1078,True,122
265,1078,True,122
266,1078,True,122
267,1078,True,122
268,1078,True,122
269,1078,True,122
270,1078,True,122
271,1078,True,122
272,1078,True,122
273,1078,True,122
274,1078,True,122
275,1078,True,122
276,1078,True,122
277,1078,True,122
278,1078,True,122
279,1078,True,122
280,1078,True,122
281,1078,True,122
282,1078,True,122
283,1078,True,122
284,1078,True,122
285,1078,True,122
286,1078,True,122
287,1078,True,122
288,1078,True,122
289,1078,True,122
290,1078,True,122
291,1078,True,122
292,1078,True,122
293,1078,True,122
294,1078,True,122
295,1078,True,122
296,1078,True,122
297,1078,True,122
298,1078,True,122
299,1078,True,122
300,1078,True,122
301,1078,True,122
302,1078,True,122
303,1078,True,122
304,1078,True,122
305,1078,True,122
306,1078,True,122
307,1078,True,122
308,1078,True,122
309,1078,True,122
310,1078,True,122
311,1078,True,122
312,1078,True,122
313,1078,True,122
314,1078,True,122
315,1078,True,122
316,1078,True,122
317,1078,True,122
318,1078,True,122
319,1078,True,122
320,1078,True,122
321,1078,True,122
322,1078,True,122
323,1079,True,121
324,1079,True,121
325,1079,True,121
326,1079,True,121
327,1079,True,121
328,1079,True,121
329,1079,True,121
330,1079,True,121
331,1079,True,121
332,1079,True,121
333,1079,True,121
334,1079,True,121
335,1079,True,121
336,1079,True,121
337,1079,True,121
338,1079,True,121
339,1079,True,121
340,1079,True,121
341,1079,True,121
342,1079,True,121
343,1079,True,121
344,1079,True,121
345,1079,True,121
346,1079,True,121
347,1079,True,121
348,1079,True,121
349,1079,True,121
350,1079,True,121
351,1079,True,121
352,1080,True,120
353,1080,True,120
354,1080,True,120
355,1080,True,120
356,1080,True,120
357,1080,True,120
358,1080,True,120
359,1080,True,120
360,1080,True,120
361,1080,True,120
362,1080,True,120
363,1081,True,119
364,1081,True,119
365,1081,True,119
366,1081,True,119
367,1081,True,119
368,1081,True,119
369,1081,True,119
370,1081,True,119
371,1081,True,119
372,1081,True,119
373,1081,True,119
374,1081,True,119
375,1081,True,119
376,1081,True,119
377,1081,True,119
378,1081,True,119
379,1081,True,119
380,1081,True,119
381,1081,True,119
382,1081,True,119
383,1082,True,118
384,1082,True,118
385,1082,True,118
386,1082,True,118
387,1082,True,118
388,1082,True,118
389,1082,True,118
390,1082,True,118
391,1082,True,118
392,1082,True,118
393,1082,True,118
394,1082,True,118
395,1082,True,118
396,1082,True,118
397,1082,True,118
398,1082,True,118
399,1082,True,118
400,1082,True,118
401,1082,True,118
402,1082,True,118
403,1082,True,118
404,1082,True,118
405,1082,True,118
406,1082,True,118
407,1082,True,118
408,1082,True,118
409,1082,True,118
410,1082,True,118
411,1082,True,118
412,1082,True,118
413,1083,True,117
414,1083,True,117
415,1083,True,117
416,1083,True,117
417,1083,True,117
418,1083,True,117
419,1083,True,117
420,1083,True,117
421,1083,True,117
422,1083,True,117
423,1083,True,117
424,1083,True,117
425,1083,True,117
426,1083,True,117
427,1083,True,117
428,1083,True,117
429,1083,True,117
430,1083,True,117
431,1083,True,117
432,1083,True,117
433,1083,True,117
434,1083,True,117
435,1083,True,117
436,1083,True,117
437,1083,True,117
438,1083,True,117
439,1083,True,117
440,1083,True,117
441,1083,True,117
442,1083,True,117
443,1083,True,117
444,1083,True,117
445,1083,True,117
446,1083,True,117
447,1083,True,117
448,1083,True,117
449,1083,True,117
450,1083,True,117
451,1083,True,117
452,1083,True,117
453,1083,True,117
454,1083,True,117
455,1083,True,117
456,1083,True,117
457,1083,True,117
458,1083,True,117
459,1083,True,117
460,1083,True,117
461,1083,True,117
462,1083,True,117
463,1083,True,117
464,1084,True,116
465,1084,True,116
466,1084,True,116
467,1084,True,116
468,1084,True,116
469,1084,True,116
470,1084,True,116
471,1084,True,116
472,1084,True,116
473,1084,True,116
474,1084,True,116
475,1084,True,116
476,1084,True,116
477,1084,True,116
478,1084,True,116
479,1084,True,116
480,1084,True,116
481,1084,True,116
482,1084,True,116
483,1084,True,116
484,1084,True,116
485,1084,True,116
486,1084,True,116
487,1085,True,115
488,1085,True,115
489,1085,True,115
490,1085,True,115
491,1085,True,115
492,1085,True,115
493,1085,True,115
494,1085,True,115
495,1085,True,115
496,1085,True,115
497,1085,True,115
498,1085,True,115
499,1085,True,115
500,1085,True,115
501,1085,True,115
502,1085,True,115
503,1085,True,115
504,1085,True,115
505,1085,True,115
506,1085,True,115
507,1085,True,115
508,1085,True,115
509,1085,True,115
510,1085,True,115
511,1085,True,115
512,1085,True,115
513,1085,True,115
514,1085,True,115
515,1085,True,115
516,1085,True,115
517,1085,True,115
518,1085,True,115
519,1085,True,115
520,1085,True,115
521,1085,True,115
522,1085,True,115
523,1085,True,115
524,1085,True,115
525,1085,True,115
526,1085,True,115
527,1085,True,115
528,1085,True,115
529,1085,True,115
530,1085,True,115
531,1085,True,115
532,1085,True,115
533,1085,True,115
534,1085,True,115
535,1085,True,115
536,1085,True,115
537,1085,True,115
538,1085,True,115
539,1085,True,115
540,1085,True,115
541,1085,True,115
542,1085,True,115
543,1085,True,115
544,1085,True,115
545,1085,True,115
546,1085,True,115
547,1085,True,115
548,1085,True,115
549,1085,True,115
550,1085,True,115
551,1085,True,115
552,1085,True,115
553,1085,True,115
554,1085,True,115
555,1085,True,115
556,1085,True,115
557,1085,True,115
558,1085,True,115
559,1085,True,115
560,1085,True,115
561,1085,True,115
562,1085,True,115
563,1085,True,115
564,1085,True,115
565,1085,True,115
566,1085,True,115
567,1085,True,115
568,1085,True,115
569,1085,True,115
570,1085,True,115
571,1085,True,115
572,1085,True,115
573,1085,True,115
574,1085,True,115
575,1085,True,115
576,1085,True,115
577,1085,True,115
578,1085,True,115
579,1085,True,115
580,1085,True,115
581,1085,True,115
582,1085,True,115
583,1085,True,115
584,1085,True,115
585,1085,True,115
586,1085,True,115
587,1085,True,115
588,1085,True,115
589,1085,True,115
590,1085,True,115
591,1085,True,115
592,1085,True,115
593,1085,True,115
594,1085,True,115
595,1085,True,115
596,1085,True,115
597,1085,True,115
598,1085,True,115
599,1085,True,115
600,1085,True,115
601,1085,True,115
602,1085,True,115
603,1085,True,115
604,1085,True,115
605,1085,True,115
606,1085,True,115
607,1085,True,115
608,1085,True,115
609,1085,True,115
610,1085,True,115
611,1085,True,115
612,1086,True,114
613,1086,True,114
614,1086,True,114
615,1086,True,114
616,1086,True,114
617,1086,True,114
618,1086,True,114
619,1086,True,114
620,1086,True,114
621,1086,True,114
622,1086,True,114
623,1086,True,114
624,1086,True,114
625,1086,True,114
626,1086,True,114
627,1086,True,114
628,1086,True,114
629,1086,True,114
630,1086,True,114
631,1086,True,114
632,1086,True,114
633,1086,True,114
634,1086,True,114
635,1086,True,114
636,1086,True,114
637,1086,True,114
638,1086,True,114
639,1086,True,114
640,1086,True,114
641,1086,True,114
642,1086,True,114
643,1086,True,114
644,1086,True,114
645,1086,True,114
646,1086,True,114
647,1086,True,114
648,1086,True,114
649,1086,True,114
650,1086,True,114
651,1086,True,114
652,1086,True,114
653,1086,True,114
654,1086,True,114
655,1086,True,114
656,1086,True,114
657,1086,True,114
658,1086,True,114
659,1086,True,114
660,1086,True,114
661,1086,True,114
662,1086,True,114
663,1086,True,114
664,1086,True,114
665,1086,True,114
666,1086,True,114
667,1086,True,114
668,1086,True,114
669,1086,True,114
670,1086,True,114
671,1086,True,114
672,1086,True,114
673,1086,True,114
674,1086,True,114
675,1086,True,114
676,1086,True,114
677,1086,True,114
678,1086,True,114
679,1086,True,114
680,1086,True,114
681,1086,True,114
682,1086,True,114
683,1086,True,114
684,1086,True,114
685,1086,True,114
686,1086,True,114
687,1086,True,114
688,1086,True,114
689,1086,True,114
690,1086,True,114
691,1086,True,114
692,1086,True,114
693,1086,True,114
694,1086,True,114
695,1086,True,114
696,1086,True,114
697,1086,True,114
698,1086,True,114
699,1086,True,114
700,1086,True,114
701,1086,True,114
702,1086,True,114
703,1086,True,114
704,1086,True,114
705,1086,True,114
706,1086,True,114
707,1086,True,114
708,1086,True,114
709,1086,True,114
710,1086,True,114
711,1086,True,114
712,1086,True,114
713,1086,True,114
714,1086,True,114
715,1086,True,114
716,1086,True,114
717,1086,True,114
718,1086,True,114
719,1086,True,114
720,1086,True,114
721,1086,True,114
722,1086,True,114
723,1086,True,114
724,1086,True,114
725,1086,True,114
726,1086,True,114
727,1086,True,114
728,1086,True,114
729,1086,True,114
730,1086,True,114
731,1086,True,114
732,1086,True,114
733,1086,True,114
734,1086,True,114
735,1086,True,114
736,1086,True,114
737,1086,True,114
738,1086,True,114
739,1086,True,114
740,1086,True,114
741,1086,True,114
742,1086,True,114
743,1086,True,114
744,1088,True,112
745,1088,True,112
746,1088,True,112
747,1088,True,112
748,1088,True,112
749,1088,True,112
750,1089,True,111
751,1089,True,111
752,1089,True,111
753,1089,True,111
754,1089,True,111
755,1089,True,111
756,1089,True,111
757,1089,True,111
758,1090,True,110
759,1090,True,110
760,1090,True,110
761,1090,True,110
762,1090,True,110
763,1091,True,109
764,1091,True,109
765,1091,True,109
766,1091,True,109
767,1091,True,109
768,1091,True,109
769,1091,True,109
770,1091,True,109
771,1091,True,109
772,1091,True,109
773,1091,True,109
774,1091,True,109
775,1091,True,109
776,1091,True,109
777,1091,True,109
778,1091,True,109
779,1091,True,109
780,1091,True,109
781,1091,True,109
782,1091,True,109
783,1091,True,109
784,1091,True,109
785,1091,True,109
786,1091,True,109
787,1091,True,109
788,1091,True,109
789,1091,True,109
790,1091,True,109
791,1091,True,109
792,1091,True,109
793,1091,True,109
794,1091,True,109
795,1091,True,109
796,1091,True,109
797,1091,True,109
798,1091,True,109
799,1091,True,109
800,1091,True,109
801,1091,True,109
802,1091,True,109
803,1091,True,109
804,1091,True,109
805,1091,True,109
806,1091,True,109
807,1091,True,109
808,1091,True,109
809,1091,True,109
810,1091,True,109
811,1091,True,109
812,1091,True,109
813,1091,True,109
814,1091,True,109
815,1091,True,109
816,1091,True,109
817,1091,True,109
818,1091,True,109
819,1091,True,109
820,1091,True,109
821,1091,True,109
822,1091,True,109
823,1091,True,109
824,1091,True,109
825,1091,True,109
826,1091,True,109
827,1091,True,109
828,1091,True,109
829,1091,True,109
830,1091,True,109
831,1091,True,109
832,1091,True,109
833,1091,True,109
834,1091,True,109
835,1091,True,109
836,1091,True,109
837,1091,True,109
838,1091,True,109
839,1091,True,109
840,1091,True,109
841,1091,True,109
842,1091,True,109
843,1091,True,109
844,1091,True,109
845,1091,True,109
846,1091,True,109
847,1091,True,109
848,1091,True,109
849,1091,True,109
850,1091,True,109
851,1091,True,109
852,1091,True,109
853,1091,True,109
854,1091,True,109
855,1091,True,109
856,1091,True,109
857,1091,True,109
858,1091,True,109
859,1091,True,109
860,1091,True,109
861,1091,True,109
862,1091,True,109
863,1091,True,109
864,1091,True,109
865,1091,True,109
866,1091,True,109
867,1091,True,109
868,1091,True,109
869,1091,True,109
870,1091,True,109
871,1091,True,109
872,1091,True,109
873,1091,True,109
874,1091,True,109
875,1091,True,109
876,1091,True,109
877,1091,True,109
878,1091,True,109
879,1091,True,109
880,1091,True,109
881,1091,True,109
882,1091,True,109
883,1091,True,109
884,1091,True,109
885,1091,True,109
886,1091,True,109
887,1091,True,109
888,1091,True,109
889,1091,True,109
890,1091,True,109
891,1091,True,109
892,1091,True,109
893,1091,True,109
894,1091,True,109
895,1091,True,109
896,1091,True,109
897,1091,True,109
898,1091,True,109
899,1091,True,109
900,1091,True,109
901,1091,True,109
902,1091,True,109
903,1091,True,109
904,1091,True,109
905,1091,True,109
906,1091,True,109
907,1091,True,109
908,1091,True,109
909,1091,True,109
910,1091,True,109
911,1091,True,109
912,1091,True,109
913,1091,True,109
914,1091,True,109
915,1091,True,109
916,1091,True,109
917,1091,True,109
918,1091,True,109
919,1091,True,109
920,1091,True,109
921,1091,True,109
922,1091,True,109
923,1091,True,109
924,1091,True,109
925,1091,True,109
926,1091,True,109
927,1091,True,109
928,1091,True,109
929,1091,True,109
930,1091,True,109
931,1091,True,109
932,1091,True,109
933,1091,True,109
934,1091,True,109
935,1091,True,109
936,1091,True,109
937,1091,True,109
938,1091,True,109
939,1091,True,109
940,1091,True,109
941,1091,True,109
942,1091,True,109
943,1091,True,109
944,1091,True,109
945,1091,True,109
946,1091,True,109
947,1091,True,109
948,1091,True,109
949,1091,True,109
950,1091,True,109
951,1091,True,109
952,1091,True,109
953,1091,True,109
954,1091,True,109
955,1091,True,109
956,1091,True,109
957,1091,True,109
958,1091,True,109
959,1091,True,109
960,1091,True,109
961,1091,True,109
962,1091,True,109
963,1091,True,109
964,1091,True,109
965,1091,True,109
966,1091,True,109
967,1091,True,109
968,1091,True,109
969,1091,True,109
970,1091,True,109
971,1091,True,109
972,1091,True,109
973,1091,True,109
974,1091,True,109
975,1091,True,109
976,1091,True,109
977,1091,True,109
978,1091,True,109
979,1091,True,109
980,1091,True,109
981,1091,True,109
982,1091,True,109
983,1091,True,109
984,1091,True,109
985,1091,True,109
986,1091,True,109
987,1091,True,109
988,1091,True,109
989,1091,True,109
990,1091,True,109
991,1091,True,109
992,1091,True,109
993,1091,True,109
994,1091,True,109
995,1091,True,109
996,1091,True,109
997,1091,True,109
998,1091,True,109
999,1091,True,109
